fecha,indicativo,nombre,provincia,prec,velmedia,sol,longitud,latitud
01/2014,0002I,VANDELLÒS  ,TARRAGONA,25.7,2.1548387096774193,,0.8713888888888889,40.95805555555556
01/2014,0016A,REUS AEROPUERTO,TARRAGONA,15.6,3.229032258064516,3.574193548387097,1.163611111111111,41.144999999999996
01/2014,0076,BARCELONA AEROPUERTO,BARCELONA,29.6,3.7387096774193544,2.1193548387096777,2.0700000000000003,41.29277777777778
01/2014,0149X,MANRESA,BARCELONA,36.0,1.8709677419354838,4.312903225806451,1.840277777777778,41.72
01/2014,0200E,"BARCELONA, FABRA",BARCELONA,43.0,4.148387096774194,4.816129032258065,2.1241666666666665,41.41833333333333
01/2014,0201D,BARCELONA,BARCELONA,40.2,2.641935483870968,,2.2,41.39055555555556
01/2014,0229I,SABADELL AEROPUERTO,BARCELONA,23.1,2.2129032258064516,,2.1030555555555557,41.52361111111111
01/2014,0252D,ARENYS DE MAR,BARCELONA,29.0,1.1516129032258062,,2.54,41.587500000000006
01/2014,0255B,SANTA SUSANNA,BARCELONA,41.4,,,2.6969444444444446,41.65083333333333
01/2014,0324A,RIPOLL,GIRONA,39.099999999999994,1.0129032258064516,,2.196111111111111,42.19138888888889
01/2014,0367,GIRONA AEROPUERTO,GIRONA,26.9,1.6551724137931034,4.470967741935484,2.763333333333333,41.91166666666666
01/2014,0372C,PORQUERES,GIRONA,22.8,1.2225806451612902,,2.763611111111111,42.10444444444445
01/2014,1002Y,"BAZTAN, IRURITA ",NAVARRA,329.5,1.0193548387096774,,-1.5430555555555554,43.13583333333333
01/2014,1014,"HONDARRIBIA, MALKARROA",GIPUZKOA,413.7,4.119354838709677,1.6225806451612903,-1.7922222222222222,43.356944444444444
01/2014,1014A,DONOSTIA / SAN SEBASTIÁN AEROPUERTO,GIPUZKOA,423.59999999999997,4.161290322580645,1.6290322580645162,-1.7922222222222222,43.356944444444444
01/2014,1024E,"DONOSTIA / SAN SEBASTIÁN, IGELDO",GIPUZKOA,349.3,5.670967741935484,2.0580645161290323,-2.041111111111111,43.30638888888888
01/2014,1037Y,ZUMARRAGA,GIPUZKOA,277.7,2.36,,-2.3175,43.080000000000005
01/2014,1041A,ZUMAIA,GIPUZKOA,166.3,4.82258064516129,,-2.2511111111111113,43.30222222222222
01/2014,1050J,ELGOIBAR,GIPUZKOA,237.3,1.964516129032258,,-2.413333333333333,43.20944444444445
01/2014,1055B,LEKEITIO,BIZKAIA,118.8,4.72258064516129,,-2.5102777777777776,43.37694444444445
01/2014,1057B,MATXITXAKO,BIZKAIA,271.6,6.425806451612903,,-2.7527777777777778,43.45388888888889
01/2014,1059X,PUNTA GALEA,BIZKAIA,200.5,3.6193548387096777,,-3.0216666666666665,43.375
01/2014,1078I,GÜEÑES,BIZKAIA,208.7,2.4709677419354836,,-3.104722222222222,43.20333333333333
01/2014,1082,BILBAO AEROPUERTO,BIZKAIA,212.3,3.6451612903225805,1.3064516129032258,-2.906388888888889,43.29805555555556
01/2014,1109,SANTANDER AEROPUERTO,CANTABRIA,257.5,,1.3935483870967742,-3.8255555555555554,43.42388888888889
01/2014,1111,SANTANDER,CANTABRIA,238.8,6.467741935483871,1.3838709677419354,-3.8005555555555555,43.49111111111111
01/2014,1111X,SANTANDER,CANTABRIA,242.4,6.854838709677419,1.3161290322580645,-3.8005555555555555,43.49111111111111
01/2014,1159,SAN VICENTE DE LA BARQUERA,CANTABRIA,155.20000000000002,3.3870967741935485,,-4.392222222222222,43.39333333333333
01/2014,1183X,LLANES,ASTURIAS,142.0,3.0935483870967744,1.3741935483870968,-4.748055555555555,43.42027777777778
01/2014,1207U,"GIJÓN, CAMPUS",ASTURIAS,149.6,2.0129032258064514,,-5.621111111111111,43.52305555555555
01/2014,1208H,"GIJÓN, PUERTO",ASTURIAS,161.5,,1.9516129032258065,-5.700833333333334,43.559999999999995
01/2014,1210X,CABO PEÑAS,ASTURIAS,159.1,5.461290322580646,,-5.8486111111111105,43.655833333333334
01/2014,1212E,ASTURIAS AEROPUERTO,ASTURIAS,180.20000000000002,4.396774193548388,1.3483870967741935,-6.0441666666666665,43.566944444444445
01/2014,1221D,PAJARES-VALGRANDE,ASTURIAS,180.9,4.412903225806452,,-5.776388888888889,42.978611111111114
01/2014,1249I,OVIEDO,ASTURIAS,143.6,2.9214285714285713,2.5354838709677416,-5.874166666666667,43.35333333333333
01/2014,1249X,OVIEDO,ASTURIAS,144.8,2.8870967741935485,2.2838709677419353,-5.874166666666667,43.35333333333333
01/2014,1283U,CABO BUSTO,ASTURIAS,85.8,,1.9724137931034484,-6.47,43.56916666666667
01/2014,1351,ESTACA DE BARES,A CORUÑA,124.4,12.351612903225806,1.8129032258064517,-7.6850000000000005,43.78611111111111
01/2014,1387,A CORUÑA,A CORUÑA,204.6,4.922580645161291,1.7580645161290323,-8.421388888888888,43.365833333333335
01/2014,1387E,A CORUÑA AEROPUERTO,A CORUÑA,136.2,4.567741935483871,1.4,-8.371944444444445,43.30694444444444
01/2014,1393,CABO VILÁN,A CORUÑA,163.6,7.247826086956521,,-9.210833333333333,43.160555555555554
01/2014,1400,FISTERRA,A CORUÑA,190.4,9.90967741935484,1.8258064516129033,-9.29138888888889,42.92472222222222
01/2014,1428,SANTIAGO DE COMPOSTELA AEROPUERTO,A CORUÑA,409.1,4.306451612903226,1.2096774193548387,-8.410555555555556,42.88805555555555
01/2014,1473A,PADRÓN,A CORUÑA,121.5,3.1500000000000004,,-8.627222222222223,42.73833333333334
01/2014,1475X,SANTIAGO DE COMPOSTELA,A CORUÑA,459.3,0.85,,-8.555833333333334,42.876111111111115
01/2014,1484C,PONTEVEDRA,PONTEVEDRA,349.7,1.864516129032258,1.1129032258064515,-8.615833333333333,42.43833333333333
01/2014,1495,VIGO AEROPUERTO,PONTEVEDRA,432.9,3.429032258064516,0.6967741935483871,-8.623888888888889,42.23861111111111
01/2014,1505,LUGO AEROPUERTO,LUGO,212.4,2.793548387096774,0.8258064516129032,-7.4575000000000005,43.11138888888889
01/2014,1542,PUERTO DE LEITARIEGOS,ASTURIAS,205.6,6.196666666666667,0.9129032258064517,-6.4141666666666675,42.994166666666665
01/2014,1549,PONFERRADA,LEON,131.8,1.7645161290322582,1.803225806451613,-6.6,42.56388888888888
01/2014,1631E,A POBRA DE TRIVES,OURENSE,241.8,3.3483870967741933,1.7967741935483872,-7.2825,42.339444444444446
01/2014,1690A,OURENSE,OURENSE,189.9,1.441935483870968,1.4129032258064516,-7.859722222222222,42.32527777777778
01/2014,1700X,O CARBALLIÑO,OURENSE,280.8,1.0225806451612902,,-8.092500000000001,42.421388888888885
01/2014,1735X,XINZO DE LIMIA,OURENSE,164.8,2.9551724137931035,,-7.733611111111111,42.07916666666667
01/2014,2030,SORIA,SORIA,66.8,3.167741935483871,2.735483870967742,-2.4830555555555556,41.775
01/2014,2117D,ARANDA DE DUERO,BURGOS,49.4,2.703225806451613,1.8225806451612903,-3.742777777777778,41.66583333333333
01/2014,2150H,"LA PINILLA, ESTACIÓN DE ESQUÍ",SEGOVIA,298.2,5.003225806451613,0.6322580645161291,-3.475277777777778,41.19194444444444
01/2014,2235U,CERVERA DE PISUERGA,PALENCIA,132.2,3.429032258064516,2.883870967741936,-4.52,42.870555555555555
01/2014,2298,PALACIOS DE LA SIERRA,BURGOS,0.0,2.9064516129032256,1.7096774193548387,-3.131666666666667,41.959722222222226
01/2014,2331,BURGOS AEROPUERTO,BURGOS,65.7,4.925806451612903,1.7645161290322582,-3.6213888888888888,42.356944444444444
01/2014,2374X,CARRIÓN DE LOS CONDES,PALENCIA,34.2,2.3964285714285714,3.1964285714285716,-4.617222222222223,42.350833333333334
01/2014,2400E,AUTILLA DEL PINO,PALENCIA,42.3,5.774193548387097,,-4.602777777777778,41.995555555555555
01/2014,2422,VALLADOLID,VALLADOLID,79.8,2.574193548387097,2.661290322580645,-4.754444444444444,41.64083333333333
01/2014,2444,ÁVILA,AVILA,46.8,3.4741935483870967,2.851612903225807,-4.679722222222223,40.659166666666664
01/2014,2462,PUERTO DE NAVACERRADA,MADRID,294.3,5.119354838709677,1.2774193548387098,-4.010555555555555,40.793055555555554
