Fecha,Demanda
01/2014,23201.370657000003
02/2014,21412.522674
03/2014,22038.118620999998
04/2014,19866.570853
05/2014,20616.662364
06/2014,20786.95878
07/2014,22425.03274
08/2014,21552.723899999997
09/2014,21587.349519000003
10/2014,20912.87746
11/2014,20850.574617
12/2014,22469.091873
01/2015,23850.778460999998
02/2015,22079.124302
03/2015,22320.622539
04/2015,19913.745874
05/2015,21024.442075
06/2015,21582.825532000003
07/2015,24945.739132
08/2015,22320.043801
09/2015,20847.347127
10/2015,20958.912994
11/2015,20962.118846
12/2015,22002.733827
01/2016,22633.024584
02/2016,21910.406418000002
03/2016,22629.709348
04/2016,21036.197793000003
05/2016,20894.05889
06/2016,21490.285646
07/2016,23643.270503
08/2016,22906.879568999997
09/2016,22162.857287
10/2016,21092.114112
11/2016,21768.973539000002
12/2016,22498.372166999998
01/2017,24338.2233919999
02/2017,21051.453155000003
03/2017,22265.17355
04/2017,20113.93414
05/2017,21449.085436
06/2017,23023.921620999998
07/2017,23898.005519000002
08/2017,23322.269035999998
09/2017,21476.056885
10/2017,21458.915372000003
11/2017,22073.731522
12/2017,23396.400654
01/2018,23824.297384
02/2018,22448.928221000002
03/2018,23301.538223
04/2018,21088.079749
05/2018,21308.320324
06/2018,21613.126417
07/2018,23661.798238000003
08/2018,23509.928796999997
09/2018,22122.622526
10/2018,21579.63923
11/2018,22054.390403
12/2018,22373.111296
01/2019,24566.154547
02/2019,21280.529205
03/2019,21935.545636
04/2019,20692.209649
05/2019,21134.292129
06/2019,21258.958649
07/2019,24223.99117
08/2019,22710.929179000002
09/2019,21297.712004999998
10/2019,21454.84717
11/2019,21997.760931
12/2019,22110.920732000002
01/2020,23826.282724
02/2020,20980.969956999998
03/2020,20926.733362
04/2020,17060.911994
05/2020,18308.08384
06/2020,19358.582116
07/2020,23194.421105
08/2020,22065.111348000002
09/2020,20498.509843
10/2020,20693.485204999997
11/2020,20698.566522999998
12/2020,22438.961596
01/2021,23909.484894
02/2021,20182.155276
03/2021,21823.050886999998
04/2021,19940.221825
05/2021,20346.648964
06/2021,20728.356541
07/2021,22922.255761
08/2021,22059.793278999998
09/2021,20972.956058
10/2021,20197.477971
11/2021,21433.492692000003
12/2021,22029.944636999997
01/2022,22729.295932
02/2022,20168.155371
03/2022,21475.748762
04/2022,19589.011223
05/2022,20301.23267
06/2022,21330.346609
07/2022,23635.939166
08/2022,22009.668436
09/2022,20311.95898
10/2022,19330.113115
11/2022,19301.765718
12/2022,20287.656712
01/2023,21986.649025
02/2023,20438.462692
03/2023,20483.736573
04/2023,18174.084184
05/2023,19089.725184
06/2023,19814.526454
07/2023,22657.715725000002
08/2023,21656.429763
09/2023,19577.232393
10/2023,19763.288139
11/2023,19918.662312
